	Stars					UAI name
1557	   SB*         	[SB?] 	Spectroscopic Binary                      	http://astrothesaurus.org/uat/1557		
190	   BY*         	[BY?] 	BY Dra Variable                           	http://astrothesaurus.org/uat/190		
1416	   RS*         	[RS?] 	RS CVn Variable                           	http://astrothesaurus.org/uat/1416		
1674	   Sy*         	 Sy?  	Symbiotic Star                            	http://astrothesaurus.org/uat/1674		
1811	   XB*         	 XB?  	X-ray Binary                              	http://astrothesaurus.org/uat/1811		
939	     LXB       	 LX?  	Low Mass X-ray Binary                     	http://astrothesaurus.org/uat/939		
733	     HXB       	 HX?  	High Mass X-ray Binary                    	http://astrothesaurus.org/uat/733		
203	   CV*         	 CV?  	Cataclysmic Variable                      	http://astrothesaurus.org/uat/203		
1127	     No*       	 No?  	Nova                                      	http://astrothesaurus.org/uat/1127		
1126	    {NL*}      	      	Nova-like Star                            	http://astrothesaurus.org/uat/1126		
418	    {DN*}      	      	Dwarf Nova                                	http://astrothesaurus.org/uat/418		
407	    {DQ*}      	      	CV of DQ Her type                         	http://astrothesaurus.org/uat/407		
32	    {AM*}      	      	CV of AM Her type                         	http://astrothesaurus.org/uat/32		
1668	   SN*         	 SN?  	SuperNova                                 	http://astrothesaurus.org/uat/1668		
2050	   LM*         	 LM?  	Low-mass Star                             	http://astrothesaurus.org/uat/2050		
185	     BD*       	 BD?  	Brown Dwarf                               	http://astrothesaurus.org/uat/185		
	Variability properties			http://astrothesaurus.org/uat/		
1761	   V*          	 V*?  	Variable Star                             	http://astrothesaurus.org/uat/1761		
865	     Ir*       	      	Irregular Variable                        	http://astrothesaurus.org/uat/865		
0	      {RI*}    	      	Irregular Variable with rapid variations  	http://astrothesaurus.org/uat/0		
476	     Er*       	[Er?] 	Eruptive Variable                         	http://astrothesaurus.org/uat/476		
540	       Fl*     	      	Flare Star                                	http://astrothesaurus.org/uat/540		
0	     Ro*       	[Ro?] 	Rotating Variable                         	http://astrothesaurus.org/uat/0		
1307	     Pu*       	[Pu*] 	Pulsating Variable                        	http://astrothesaurus.org/uat/1307		
935	     LP*       	 LP?  	Long-Period Variable                      	http://astrothesaurus.org/uat/935		
1444	      {sr*}    	{sv?} 	Semi-Regular Variable                     	http://astrothesaurus.org/uat/1444		
0	    {EP*}      	      	Star showing Eclipses by its Planet       	http://astrothesaurus.org/uat/0	1242=Planet-hosting star	
	Spectral properties			http://astrothesaurus.org/uat/		
460	   Em*         	      	Emission-line Star                        	http://astrothesaurus.org/uat/460		
	Kinematic and Environment Properties			http://astrothesaurus.org/uat/		
0	   PM*         	      	High Proper Motion Star                   	http://astrothesaurus.org/uat/0		
736	   HV*         	      	High Velocity Star                        	http://astrothesaurus.org/uat/736		
0	   *iC         	      	Star towards a Cluster                    	http://astrothesaurus.org/uat/0		
0	   *iA         	      	Star towards an Association               	http://astrothesaurus.org/uat/0		
0	   *iN         	      	Star towards a Nebula                     	http://astrothesaurus.org/uat/0		
0	   {*i*}       	      	Star in double system                     	http://astrothesaurus.org/uat/0		
	SUB-STELLAR OBJECTS			http://astrothesaurus.org/uat/		
1648	 su*           	      	Sub-stellar Object                        	http://astrothesaurus.org/uat/1648	1648=sub-stellar companion	
498	   Pl          	 Pl?  	Extra-solar Planet                        	http://astrothesaurus.org/uat/498		
	SETS OF STARS			http://astrothesaurus.org/uat/		
1567	 Cl*           	 C?*  	Cluster of Stars                          	http://astrothesaurus.org/uat/1567		
656	   GlC         	 Gl?  	Globular Cluster                          	http://astrothesaurus.org/uat/656		
1160	   OpC         	      	Open Cluster                              	http://astrothesaurus.org/uat/1160		
1582	 As*           	 As?  	Association of Stars                      	http://astrothesaurus.org/uat/1582		
0	   St*         	      	Stellar Stream                            	http://astrothesaurus.org/uat/0	1701=tidal tails	
1076	   MGr         	      	Moving Group                              	http://astrothesaurus.org/uat/1076		
	INTERSTELLAR MEDIUM			http://astrothesaurus.org/uat/		
847	 ISM           	      	Interstellar Medium Object                	http://astrothesaurus.org/uat/847		
