lpv-star;3;LPV*;Long-Period Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#LP%2A) skos:exactMatch(http://astrothesaurus.org/uat/935)
agb-star;3;AGB*;Asymptotic Giant Branch Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#AB%2A) skos:exactMatch(http://astrothesaurus.org/uat/2100)
mira;4;Mira;Mira Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Mi%2A) skos:exactMatch(http://astrothesaurus.org/uat/1066)
oh-ir;3;OH/IR;OH/IR Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#OH%2A) skos:exactMatch(http://astrothesaurus.org/uat/1156)
post-agb-star;3;post-AGB*;Post-AGB Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#pA%2A) skos:exactMatch(http://astrothesaurus.org/uat/1301)
puls-v-star-rvtau;3;PulsV*RVTau;RV Tauri Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#RV%2A) skos:exactMatch(http://astrothesaurus.org/uat/1418)
pn;3;PN;Planetary Nebula;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#PN) skos:exactMatch(http://astrothesaurus.org/uat/1249)
wd-star;3;WD*;White Dwarf;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#WD%2A) skos:exactMatch(http://astrothesaurus.org/uat/1799)
pec-star;2;Pec*;Chemically Peculiar Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Pe%2A) skos:exactMatch(http://astrothesaurus.org/uat/226)
rot-v-star-alf2cvn;3;RotV*alf2CVn;alpha2 CVn Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#a2%2A) skos:exactMatch(http://astrothesaurus.org/uat/27)
erupt-star-rcr-b;3;Erupt*RCrB;R CrB Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#RC%2A) skos:exactMatch(http://astrothesaurus.org/uat/1327)
multiple-star;2;**;Double or Multiple Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#%2A%2A) skos:exactMatch(http://astrothesaurus.org/uat/1081)
ellip-var;3;EllipVar;Ellipsoidal Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#El%2A) skos:exactMatch(http://astrothesaurus.org/uat/455)
