vocflavour;1;Vocabulary Flavour;The object of this property indicates what sorts of terms the vocabulary can contain.  See Vocabularies in the VO for the string literals allowed in objects of RDF triples using this.
preliminary;1;Preliminary;The subject of an RDF triple with this property is a term that is still under review and may disappear again.
deprecated;1;Deprecated;The subject of an RDF triple with this property is a term that should no longer be used.
useInstead;1;Replace with;Used in RDFs triples to indicate that the object should be used in new annotation where previously the subject was used.
ucd-syntax-code;1;has UCD syntax code;UCD atoms canot be freely combined. Rather, each atom has a syntax code, which is one of P (only primary position), S (not in primary position), Q (freely positionable), E (can be followed by a spectral atom), C (can be followed by two spectral atoms), or V (can be followed by a frame or axis atom).;ivoasem:preliminary
