celestial;1;Celestial Frame;2D angles on the sky, i.e., Right Ascension (1st axis) and Declination (2nd axis), with possibly heliocentric distance in the 3rd axis (in AU). Although this is a special case of spherical frame, the order and conventions are different. Right ascension is provided in degrees. ICRS coordinates are assumed by default, but other frames may exist, e.g. HPC (Helio-Projective Cartesian) is centered on the Sun.
body;1;Body-fixed Frame;2D angles in body-fixed frame: Longitude (1st axis, in degrees) and latitude (2nd axis, in degrees), with possibly altitude (3rd axis, in km). A planetocentric system with eastward longitudes in the range (0,360)° is required for service interoperability. Current IAU frame is assumed, in particular for definition of the prime meridian. IAU 2009 planetocentric convention applies, in particular eastward longitudes and a north pole located on the north side of the invariant plane of the Solar System for planets and satellites. The altitude is measured above the reference ellipsoid, and can be negative for interiors. Planetocentric rotating frames are defined as "spherical" (rather than "body").
cartesian;1;Cartesian Frame;Cartesian coordinates (x,y,z) given in km.
spherical;1;Spherical Frame;Spherical coordinates (r, theta, phi), as defined in ISO standard 80000-2:2009. r = radius. theta = zenith angle/colatitude/inclination. phi = azimuth (E longitude). Angles are provided in degrees. When related to the sky or tied to a solid body, "celestial" (with RA/Dec) or "body" (with E longitude/latitude) frames must be used instead.
cylindrical;1;Cylindrical Frame;Cylindrical coordinated (r, theta, z). r = radius in km. theta = azimuth. z = height in km. The angle is provided in degrees.
none;1;None;To be used when no spatial frame is defined for the dataset.
healpix;1;Healpix Frame;Coordinated based on healpix indices.;ivoasem:preliminary
